perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Par:Eden:Space:u(a-b),MaGC:Par:Eden:Space:c(a-b),MaGC:Par:Eden:Space:u(a),MaGC:Par:Eden:Space:u(b),MaGC:Par:Eden:Space:c(a),MaGC:Par:Eden:Space:c(b),MaGC:Par:Eden:Space:i(a),MaGC:Par:Eden:Space:i(b),MaGC:Par:Eden:Space:m(a),MaGC:Par:Eden:Space:m(b),MaGC:CMS:Old:Gen:u(a-b),MaGC:CMS:Old:Gen:c(a-b),MaGC:CMS:Old:Gen:u(a),MaGC:CMS:Old:Gen:u(b),MaGC:CMS:Old:Gen:c(a),MaGC:CMS:Old:Gen:c(b),MaGC:CMS:Old:Gen:i(a),MaGC:CMS:Old:Gen:i(b),MaGC:CMS:Old:Gen:m(a),MaGC:CMS:Old:Gen:m(b),MaGC:Par:Survivor:Space:u(a-b),MaGC:Par:Survivor:Space:c(a-b),MaGC:Par:Survivor:Space:u(a),MaGC:Par:Survivor:Space:u(b),MaGC:Par:Survivor:Space:c(a),MaGC:Par:Survivor:Space:c(b),MaGC:Par:Survivor:Space:i(a),MaGC:Par:Survivor:Space:i(b),MaGC:Par:Survivor:Space:m(a),MaGC:Par:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
38317,209715200,9263104,200452096,38313,69926912,48127944,21798968,7,1.0,15038,20155,5117,343800,0,5040784,4696984,27983872,27983872,27983872,27983872,27983872,27983872,-1242968,0,47881584,49124552,69926912,69926912,69926912,69926912,69926912,69926912,1468832,0,1468832,0,3473408,3473408,3473408,3473408,3473408,3473408,9,1.11639176E8,4.8127944E7,0.0,4.8127944E7,19362.0,38303,38308,5,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,224,0,48127944,48127720,69926912,69926912,69926912,69926912,69926912,69926912,159032,0,1274960,1115928,3473408,3473408,3473408,3473408,3473408,3473408
43204,209715200,9267800,200447400,43199,69926912,48159600,21767312,7,1.0,15038,20155,5117,343800,0,5040784,4696984,27983872,27983872,27983872,27983872,27983872,27983872,-1242968,0,47881584,49124552,69926912,69926912,69926912,69926912,69926912,69926912,1468832,0,1468832,0,3473408,3473408,3473408,3473408,3473408,3473408,10,1.39591904E8,4.81596E7,0.0,4.81596E7,24203.0,43133,43149,16,-27952728,0,0,27952728,27983872,27983872,27983872,27983872,27983872,27983872,31656,0,48159600,48127944,69926912,69926912,69926912,69926912,69926912,69926912,335512,0,1610472,1274960,3473408,3473408,3473408,3473408,3473408,3473408
48440,209715200,9277376,200437824,48438,69926912,48159600,21767312,7,1.0,15038,20155,5117,343800,0,5040784,4696984,27983872,27983872,27983872,27983872,27983872,27983872,-1242968,0,47881584,49124552,69926912,69926912,69926912,69926912,69926912,69926912,1468832,0,1468832,0,3473408,3473408,3473408,3473408,3473408,3473408,11,1.67575776E8,4.824992E7,0.0,4.824992E7,29530.0,48453,48476,23,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,90320,0,48249920,48159600,69926912,69926912,69926912,69926912,69926912,69926912,-121872,0,1488600,1610472,3473408,3473408,3473408,3473408,3473408,3473408
53288,209715200,9278184,200437016,53286,69926912,48281040,21645872,7,1.0,15038,20155,5117,343800,0,5040784,4696984,27983872,27983872,27983872,27983872,27983872,27983872,-1242968,0,47881584,49124552,69926912,69926912,69926912,69926912,69926912,69926912,1468832,0,1468832,0,3473408,3473408,3473408,3473408,3473408,3473408,12,1.95559648E8,4.828104E7,0.0,4.828104E7,34314.0,53254,53260,6,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,31120,0,48281040,48249920,69926912,69926912,69926912,69926912,69926912,69926912,-587784,0,900816,1488600,3473408,3473408,3473408,3473408,3473408,3473408
57579,209715200,9280512,200434688,57577,69926912,48342192,21584720,7,1.0,15038,20155,5117,343800,0,5040784,4696984,27983872,27983872,27983872,27983872,27983872,27983872,-1242968,0,47881584,49124552,69926912,69926912,69926912,69926912,69926912,69926912,1468832,0,1468832,0,3473408,3473408,3473408,3473408,3473408,3473408,13,2.2339524E8,4.8342192E7,0.0,4.8342192E7,38575.0,57517,57521,4,-27835592,0,0,27835592,27983872,27983872,27983872,27983872,27983872,27983872,61152,0,48342192,48281040,69926912,69926912,69926912,69926912,69926912,69926912,-41952,0,858864,900816,3473408,3473408,3473408,3473408,3473408,3473408
62059,209715200,9332008,200383192,62057,69926912,48373584,21553328,7,1.0,15038,20155,5117,343800,0,5040784,4696984,27983872,27983872,27983872,27983872,27983872,27983872,-1242968,0,47881584,49124552,69926912,69926912,69926912,69926912,69926912,69926912,1468832,0,1468832,0,3473408,3473408,3473408,3473408,3473408,3473408,14,2.5126E8,4.8373584E7,0.0,4.8373584E7,43065.0,62005,62011,6,-27864760,0,0,27864760,27983872,27983872,27983872,27983872,27983872,27983872,31392,0,48373584,48342192,69926912,69926912,69926912,69926912,69926912,69926912,215688,0,1074552,858864,3473408,3473408,3473408,3473408,3473408,3473408
66478,209715200,9344112,200371088,66476,69926912,48403880,21523032,7,1.0,15038,20155,5117,343800,0,5040784,4696984,27983872,27983872,27983872,27983872,27983872,27983872,-1242968,0,47881584,49124552,69926912,69926912,69926912,69926912,69926912,69926912,1468832,0,1468832,0,3473408,3473408,3473408,3473408,3473408,3473408,15,2.79106128E8,4.840388E7,0.0,4.840388E7,47491.0,66433,66437,4,-27846128,0,0,27846128,27983872,27983872,27983872,27983872,27983872,27983872,30296,0,48403880,48373584,69926912,69926912,69926912,69926912,69926912,69926912,257848,0,1332400,1074552,3473408,3473408,3473408,3473408,3473408,3473408
70876,209715200,9344112,200371088,70874,69926912,48464024,21462888,7,1.0,15038,20155,5117,343800,0,5040784,4696984,27983872,27983872,27983872,27983872,27983872,27983872,-1242968,0,47881584,49124552,69926912,69926912,69926912,69926912,69926912,69926912,1468832,0,1468832,0,3473408,3473408,3473408,3473408,3473408,3473408,16,3.0709E8,4.8464024E7,0.0,4.8464024E7,51887.0,70809,70833,24,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,60144,0,48464024,48403880,69926912,69926912,69926912,69926912,69926912,69926912,18176,0,1350576,1332400,3473408,3473408,3473408,3473408,3473408,3473408
75600,209715200,9353920,200361280,75598,69926912,48493288,21433624,7,1.0,15038,20155,5117,343800,0,5040784,4696984,27983872,27983872,27983872,27983872,27983872,27983872,-1242968,0,47881584,49124552,69926912,69926912,69926912,69926912,69926912,69926912,1468832,0,1468832,0,3473408,3473408,3473408,3473408,3473408,3473408,17,3.35061704E8,4.8493288E7,0.0,4.8493288E7,56625.0,75536,75571,35,-27971704,0,0,27971704,27983872,27983872,27983872,27983872,27983872,27983872,29264,0,48493288,48464024,69926912,69926912,69926912,69926912,69926912,69926912,-968144,0,382432,1350576,3473408,3473408,3473408,3473408,3473408,3473408
81405,209715200,9372560,200342640,81404,69926912,48493872,21433040,7,1.0,15038,20155,5117,343800,0,5040784,4696984,27983872,27983872,27983872,27983872,27983872,27983872,-1242968,0,47881584,49124552,69926912,69926912,69926912,69926912,69926912,69926912,1468832,0,1468832,0,3473408,3473408,3473408,3473408,3473408,3473408,18,3.63029832E8,4.8493872E7,0.0,4.8493872E7,62412.0,81353,81358,5,-27968128,0,0,27968128,27983872,27983872,27983872,27983872,27983872,27983872,584,0,48493872,48493288,69926912,69926912,69926912,69926912,69926912,69926912,577872,0,960304,382432,3473408,3473408,3473408,3473408,3473408,3473408
