perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Tenured:Gen:u(a-b),MiGC:Tenured:Gen:c(a-b),MiGC:Tenured:Gen:u(a),MiGC:Tenured:Gen:u(b),MiGC:Tenured:Gen:c(a),MiGC:Tenured:Gen:c(b),MiGC:Tenured:Gen:i(a),MiGC:Tenured:Gen:i(b),MiGC:Tenured:Gen:m(a),MiGC:Tenured:Gen:m(b),MiGC:Eden:Space:u(a-b),MiGC:Eden:Space:c(a-b),MiGC:Eden:Space:u(a),MiGC:Eden:Space:u(b),MiGC:Eden:Space:c(a),MiGC:Eden:Space:c(b),MiGC:Eden:Space:i(a),MiGC:Eden:Space:i(b),MiGC:Eden:Space:m(a),MiGC:Eden:Space:m(b),MiGC:Survivor:Space:u(a-b),MiGC:Survivor:Space:c(a-b),MiGC:Survivor:Space:u(a),MiGC:Survivor:Space:u(b),MiGC:Survivor:Space:c(a),MiGC:Survivor:Space:c(b),MiGC:Survivor:Space:i(a),MiGC:Survivor:Space:i(b),MiGC:Survivor:Space:m(a),MiGC:Survivor:Space:m(b)
52465,524288000,10358472,513929528,52461,69926912,11163840,58763072,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2.7983872E8,1.1592496E7,0.0,1.1592496E7,51637.0,52472,52475,3,428656,0,11592496,11163840,69926912,69926912,69926912,69926912,69926912,69926912,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,13608,0,448472,434864,3473408,3473408,3473408,3473408,3473408,3473408
56683,524288000,10365552,513922448,56681,69926912,12017072,57909840,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3.07822592E8,1.2017072E7,0.0,1.2017072E7,55769.0,56603,56607,4,424576,0,12017072,11592496,69926912,69926912,69926912,69926912,69926912,69926912,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,21960,0,470432,448472,3473408,3473408,3473408,3473408,3473408,3473408
61823,524288000,10368224,513919776,61822,69926912,12481296,57445616,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3.35806464E8,1.2481296E7,0.0,1.2481296E7,60891.0,61726,61729,3,464224,0,12481296,12017072,69926912,69926912,69926912,69926912,69926912,69926912,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,-40344,0,430088,470432,3473408,3473408,3473408,3473408,3473408,3473408
66541,524288000,10401344,513886656,66540,69926912,12481296,57445616,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3.63790336E8,1.5419896E7,0.0,1.5419896E7,65744.0,66558,66582,24,2938600,0,15419896,12481296,69926912,69926912,69926912,69926912,69926912,69926912,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,3043320,0,3473408,430088,3473408,3473408,3473408,3473408,3473408,3473408
71854,524288000,10417912,513870088,71853,69926912,18890816,51036096,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3.91774208E8,1.8890816E7,0.0,1.8890816E7,70941.0,71769,71779,10,3470920,0,18890816,15419896,69926912,69926912,69926912,69926912,69926912,69926912,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,-2997672,0,475736,3473408,3473408,3473408,3473408,3473408,3473408,3473408
77485,524288000,10420496,513867504,77483,69926912,19342224,50584688,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4.1975808E8,1.9342224E7,0.0,1.9342224E7,76545.0,77379,77383,4,451408,0,19342224,18890816,69926912,69926912,69926912,69926912,69926912,69926912,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,-29568,0,446168,475736,3473408,3473408,3473408,3473408,3473408,3473408
82742,524288000,10420736,513867264,82741,69926912,19760704,50166208,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4.47741952E8,1.9760704E7,0.0,1.9760704E7,81888.0,82721,82726,5,418480,0,19760704,19342224,69926912,69926912,69926912,69926912,69926912,69926912,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,-31920,0,414248,446168,3473408,3473408,3473408,3473408,3473408,3473408
87524,524288000,10420736,513867264,87522,69926912,20165464,49761448,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4.75725824E8,2.0165464E7,0.0,2.0165464E7,86667.0,87496,87505,9,404760,0,20165464,19760704,69926912,69926912,69926912,69926912,69926912,69926912,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,13208,0,427456,414248,3473408,3473408,3473408,3473408,3473408,3473408
93835,524288000,10421000,513867000,93833,69926912,20590160,49336752,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5.03709696E8,2.059016E7,0.0,2.059016E7,92933.0,93766,93771,5,424696,0,20590160,20165464,69926912,69926912,69926912,69926912,69926912,69926912,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,5024,0,432480,427456,3473408,3473408,3473408,3473408,3473408,3473408
100171,524288000,10423168,513864832,100168,69926912,21016312,48910600,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5.31693568E8,2.1016312E7,0.0,2.1016312E7,99328.0,100163,100166,3,426152,0,21016312,20590160,69926912,69926912,69926912,69926912,69926912,69926912,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,-55176,0,377304,432480,3473408,3473408,3473408,3473408,3473408,3473408
107126,524288000,10425880,513862120,107125,69926912,21386168,48540744,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5.5967744E8,2.1386168E7,0.0,2.1386168E7,106237.0,107071,107075,4,369856,0,21386168,21016312,69926912,69926912,69926912,69926912,69926912,69926912,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,10536,0,387840,377304,3473408,3473408,3473408,3473408,3473408,3473408
114317,524288000,10426128,513861872,114310,69926912,21763864,48163048,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5.87661312E8,2.1763864E7,0.0,2.1763864E7,113392.0,114226,114230,4,377696,0,21763864,21386168,69926912,69926912,69926912,69926912,69926912,69926912,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,24552,0,412392,387840,3473408,3473408,3473408,3473408,3473408,3473408
120470,524288000,10427544,513860456,120468,69926912,22170072,47756840,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,6.15645184E8,2.2170072E7,0.0,2.2170072E7,119614.0,120449,120452,3,406208,0,22170072,21763864,69926912,69926912,69926912,69926912,69926912,69926912,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,-25800,0,386592,412392,3473408,3473408,3473408,3473408,3473408,3473408
