perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Par:Eden:Space:u(a-b),MaGC:Par:Eden:Space:c(a-b),MaGC:Par:Eden:Space:u(a),MaGC:Par:Eden:Space:u(b),MaGC:Par:Eden:Space:c(a),MaGC:Par:Eden:Space:c(b),MaGC:Par:Eden:Space:i(a),MaGC:Par:Eden:Space:i(b),MaGC:Par:Eden:Space:m(a),MaGC:Par:Eden:Space:m(b),MaGC:CMS:Old:Gen:u(a-b),MaGC:CMS:Old:Gen:c(a-b),MaGC:CMS:Old:Gen:u(a),MaGC:CMS:Old:Gen:u(b),MaGC:CMS:Old:Gen:c(a),MaGC:CMS:Old:Gen:c(b),MaGC:CMS:Old:Gen:i(a),MaGC:CMS:Old:Gen:i(b),MaGC:CMS:Old:Gen:m(a),MaGC:CMS:Old:Gen:m(b),MaGC:Par:Survivor:Space:u(a-b),MaGC:Par:Survivor:Space:c(a-b),MaGC:Par:Survivor:Space:u(a),MaGC:Par:Survivor:Space:u(b),MaGC:Par:Survivor:Space:c(a),MaGC:Par:Survivor:Space:c(b),MaGC:Par:Survivor:Space:i(a),MaGC:Par:Survivor:Space:i(b),MaGC:Par:Survivor:Space:m(a),MaGC:Par:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
7479,209715200,9134888,200580312,7374,69926912,66040984,3885928,32,NA,7421,7477,56,0,0,0,0,27983872,27983872,27983872,27983872,27983872,27983872,-218352,0,66000576,66218928,69926912,69926912,69926912,69926912,69926912,69926912,0,0,0,0,3473408,3473408,3473408,3473408,3473408,3473408,18,NA,NA,NA,NA,NA,7377,7377,0,0,0,11534080,11534080,27983872,27983872,27983872,27983872,27983872,27983872,0,0,66040984,66040984,69926912,69926912,69926912,69926912,69926912,69926912,0,0,0,0,3473408,3473408,3473408,3473408,3473408,3473408
7824,209715200,11094896,198620304,7820,69926912,65874792,4052120,34,1.0,7707,7761,54,360232,0,4396504,4036272,27983872,27983872,27983872,27983872,27983872,27983872,-71080,0,65874792,65945872,69926912,69926912,69926912,69926912,69926912,69926912,0,0,0,0,3473408,3473408,3473408,3473408,3473408,3473408,18,NA,NA,NA,NA,NA,7377,7377,0,0,0,11534080,11534080,27983872,27983872,27983872,27983872,27983872,27983872,0,0,66040984,66040984,69926912,69926912,69926912,69926912,69926912,69926912,0,0,0,0,3473408,3473408,3473408,3473408,3473408,3473408
8918,209715200,16445184,193270016,8913,69926912,65852584,4074328,35,0.0,8765,8877,112,0,0,14506968,14506968,27983872,27983872,27983872,27983872,27983872,27983872,-22208,0,65852584,65874792,69926912,69926912,69926912,69926912,69926912,69926912,0,0,0,0,3473408,3473408,3473408,3473408,3473408,3473408,18,NA,NA,NA,NA,NA,7377,7377,0,0,0,11534080,11534080,27983872,27983872,27983872,27983872,27983872,27983872,0,0,66040984,66040984,69926912,69926912,69926912,69926912,69926912,69926912,0,0,0,0,3473408,3473408,3473408,3473408,3473408,3473408
9173,209715200,17072872,192642328,9169,69926912,65852584,4074328,36,0.0,8964,9174,210,779096,0,17187232,16408136,27983872,27983872,27983872,27983872,27983872,27983872,-168,0,65852416,65852584,69926912,69926912,69926912,69926912,69926912,69926912,0,0,0,0,3473408,3473408,3473408,3473408,3473408,3473408,18,NA,NA,NA,NA,NA,7377,7377,0,0,0,11534080,11534080,27983872,27983872,27983872,27983872,27983872,27983872,0,0,66040984,66040984,69926912,69926912,69926912,69926912,69926912,69926912,0,0,0,0,3473408,3473408,3473408,3473408,3473408,3473408
10145,209715200,18013264,191701936,10130,69926912,68375432,1551480,37,0.0,9926,10129,203,-25783840,0,2200032,27983872,27983872,27983872,27983872,27983872,27983872,27983872,2523016,0,68375432,65852416,69926912,69926912,69926912,69926912,69926912,69926912,0,0,0,0,3473408,3473408,3473408,3473408,3473408,3473408,19,NA,NA,NA,NA,NA,9926,9926,0,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,27983872,0,0,65852416,65852416,69926912,69926912,69926912,69926912,69926912,69926912,0,0,0,0,3473408,3473408,3473408,3473408,3473408,3473408
10326,209715200,18015296,191699904,10322,69926912,68363928,1562984,38,1.0,10144,10276,132,4002256,0,6893568,2891312,27983872,27983872,27983872,27983872,27983872,27983872,-11504,0,68363928,68375432,69926912,69926912,69926912,69926912,69926912,69926912,0,0,0,0,3473408,3473408,3473408,3473408,3473408,3473408,19,NA,NA,NA,NA,NA,9926,9926,0,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,27983872,0,0,65852416,65852416,69926912,69926912,69926912,69926912,69926912,69926912,0,0,0,0,3473408,3473408,3473408,3473408,3473408,3473408
10474,209715200,18047856,191667344,10470,69926912,68326120,1600792,39,0.0,10280,10363,83,1275312,0,8168880,6893568,27983872,27983872,27983872,27983872,27983872,27983872,-37808,0,68326120,68363928,69926912,69926912,69926912,69926912,69926912,69926912,0,0,0,0,3473408,3473408,3473408,3473408,3473408,3473408,19,NA,NA,NA,NA,NA,9926,9926,0,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,27983872,0,0,65852416,65852416,69926912,69926912,69926912,69926912,69926912,69926912,0,0,0,0,3473408,3473408,3473408,3473408,3473408,3473408
