perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
30759,209715200,12674552,197040648,30758,69926912,56063312,13863600,2,1.0,17606,23245,5639,-2503432,0,6859976,9363408,27983872,27983872,27983872,27983872,27983872,27983872,510928,0,45371808,44860880,69926912,69926912,69926912,69926912,69926912,69926912,-401280,0,3072128,3473408,3473408,3473408,3473408,3473408,3473408,3473408,13,2.23870976E8,6.1692304E7,0.0,6.1692304E7,24372.0,30690,30757,67,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,6831216,0,56063312,49232096,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
31309,209715200,12681784,197033416,31307,69926912,65780928,4145984,2,1.0,17606,23245,5639,-2503432,0,6859976,9363408,27983872,27983872,27983872,27983872,27983872,27983872,510928,0,45371808,44860880,69926912,69926912,69926912,69926912,69926912,69926912,-401280,0,3072128,3473408,3473408,3473408,3473408,3473408,3473408,3473408,14,2.51854848E8,7.140992E7,0.0,7.140992E7,24921.0,31206,31306,100,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,9717616,0,65780928,56063312,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
31840,209715200,12688256,197026944,31835,69926912,60209584,9717328,3,4.0,30763,31689,926,23884072,0,25900168,2016096,27983872,27983872,27983872,27983872,27983872,27983872,-5734624,0,50328688,56063312,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408,15,2.79645112E8,8.1290816E7,0.0,8.1290816E7,25449.0,31752,31834,82,-27790264,0,0,27790264,27983872,27983872,27983872,27983872,27983872,27983872,9880896,0,60209584,50328688,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
33515,209715200,12641088,197074112,33503,69926912,68059608,1867304,4,1.0,32306,33496,1190,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,7850024,0,68059608,60209584,69926912,69926912,69926912,69926912,69926912,69926912,-3473408,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,16,3.07628984E8,8.1290816E7,0.0,8.1290816E7,25921.0,32306,32306,0,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,27983872,0,0,60209584,60209584,69926912,69926912,69926912,69926912,69926912,69926912,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,3473408
34648,209715200,12648296,197066904,34599,69926912,69926912,0,5,1.0,33810,34585,775,-21644592,0,6339280,27983872,27983872,27983872,27983872,27983872,27983872,27983872,1867304,0,69926912,68059608,69926912,69926912,69926912,69926912,69926912,69926912,0,0,0,0,3473408,3473408,3473408,3473408,3473408,3473408,17,3.07628984E8,8.914084E7,7850024.0,8.1290816E7,27425.0,33810,33810,0,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,27983872,0,0,68059608,68059608,69926912,69926912,69926912,69926912,69926912,69926912,0,0,0,0,3473408,3473408,3473408,3473408,3473408,3473408
36259,209715200,12658040,197057160,36243,69926912,69926872,40,6,1.0,34866,36220,1354,-14840352,0,13143520,27983872,27983872,27983872,27983872,27983872,27983872,27983872,-40,0,69926872,69926912,69926912,69926912,69926912,69926912,69926912,69926912,-3473360,0,0,3473360,3473408,3473408,3473408,3473408,3473408,3473408,17,3.07628984E8,8.914084E7,7850024.0,8.1290816E7,27425.0,33810,33810,0,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,27983872,0,0,68059608,68059608,69926912,69926912,69926912,69926912,69926912,69926912,0,0,0,0,3473408,3473408,3473408,3473408,3473408,3473408
37943,209715200,12662232,197052968,37897,69926912,69926888,24,7,0.0,36514,37896,1382,-7864992,0,20118880,27983872,27983872,27983872,27983872,27983872,27983872,27983872,16,0,69926888,69926872,69926912,69926912,69926912,69926912,69926912,69926912,-3473400,0,0,3473400,3473408,3473408,3473408,3473408,3473408,3473408,17,3.07628984E8,8.914084E7,7850024.0,8.1290816E7,27425.0,33810,33810,0,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,27983872,0,0,68059608,68059608,69926912,69926912,69926912,69926912,69926912,69926912,0,0,0,0,3473408,3473408,3473408,3473408,3473408,3473408
40231,209715200,12666368,197048832,40209,69926912,69926888,24,8,0.0,38302,40208,1906,-1904968,0,26078904,27983872,27983872,27983872,27983872,27983872,27983872,27983872,0,0,69926888,69926888,69926912,69926912,69926912,69926912,69926912,69926912,-3473408,0,0,3473408,3473408,3473408,3473408,3473408,3473408,3473408,17,3.07628984E8,8.914084E7,7850024.0,8.1290816E7,27425.0,33810,33810,0,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,27983872,0,0,68059608,68059608,69926912,69926912,69926912,69926912,69926912,69926912,0,0,0,0,3473408,3473408,3473408,3473408,3473408,3473408
42020,209715200,12668984,197046216,41803,69926912,69926912,0,9,0.0,40478,41789,1311,-231312,0,27752560,27983872,27983872,27983872,27983872,27983872,27983872,27983872,24,0,69926912,69926888,69926912,69926912,69926912,69926912,69926912,69926912,-3473392,0,0,3473392,3473408,3473408,3473408,3473408,3473408,3473408,17,3.07628984E8,8.914084E7,7850024.0,8.1290816E7,27425.0,33810,33810,0,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,27983872,0,0,68059608,68059608,69926912,69926912,69926912,69926912,69926912,69926912,0,0,0,0,3473408,3473408,3473408,3473408,3473408,3473408
44577,209715200,12669608,197045592,44555,69926912,69926888,24,10,0.0,42290,44551,2261,-8,0,27983864,27983872,27983872,27983872,27983872,27983872,27983872,27983872,-24,0,69926888,69926912,69926912,69926912,69926912,69926912,69926912,69926912,-2589472,0,883920,3473392,3473408,3473408,3473408,3473408,3473408,3473408,17,3.07628984E8,8.914084E7,7850024.0,8.1290816E7,27425.0,33810,33810,0,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,27983872,0,0,68059608,68059608,69926912,69926912,69926912,69926912,69926912,69926912,0,0,0,0,3473408,3473408,3473408,3473408,3473408,3473408
47117,209715200,12670512,197044688,47111,69926912,69926880,32,11,0.0,44697,46886,2189,8,0,27983872,27983864,27983872,27983872,27983872,27983872,27983872,27983872,-8,0,69926880,69926888,69926912,69926912,69926912,69926912,69926912,69926912,-1618016,0,1855296,3473312,3473408,3473408,3473408,3473408,3473408,3473408,17,3.07628984E8,8.914084E7,7850024.0,8.1290816E7,27425.0,33810,33810,0,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,27983872,0,0,68059608,68059608,69926912,69926912,69926912,69926912,69926912,69926912,0,0,0,0,3473408,3473408,3473408,3473408,3473408,3473408
50373,209715200,12670512,197044688,50367,69926912,69926880,32,12,0.0,47222,50315,3093,-24,0,27983848,27983872,27983872,27983872,27983872,27983872,27983872,27983872,0,0,69926880,69926880,69926912,69926912,69926912,69926912,69926912,69926912,-1043008,0,2430400,3473408,3473408,3473408,3473408,3473408,3473408,3473408,17,3.07628984E8,8.914084E7,7850024.0,8.1290816E7,27425.0,33810,33810,0,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,27983872,0,0,68059608,68059608,69926912,69926912,69926912,69926912,69926912,69926912,0,0,0,0,3473408,3473408,3473408,3473408,3473408,3473408
