perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Par:Eden:Space:u(a-b),MaGC:Par:Eden:Space:c(a-b),MaGC:Par:Eden:Space:u(a),MaGC:Par:Eden:Space:u(b),MaGC:Par:Eden:Space:c(a),MaGC:Par:Eden:Space:c(b),MaGC:Par:Eden:Space:i(a),MaGC:Par:Eden:Space:i(b),MaGC:Par:Eden:Space:m(a),MaGC:Par:Eden:Space:m(b),MaGC:CMS:Old:Gen:u(a-b),MaGC:CMS:Old:Gen:c(a-b),MaGC:CMS:Old:Gen:u(a),MaGC:CMS:Old:Gen:u(b),MaGC:CMS:Old:Gen:c(a),MaGC:CMS:Old:Gen:c(b),MaGC:CMS:Old:Gen:i(a),MaGC:CMS:Old:Gen:i(b),MaGC:CMS:Old:Gen:m(a),MaGC:CMS:Old:Gen:m(b),MaGC:Par:Survivor:Space:u(a-b),MaGC:Par:Survivor:Space:c(a-b),MaGC:Par:Survivor:Space:u(a),MaGC:Par:Survivor:Space:u(b),MaGC:Par:Survivor:Space:c(a),MaGC:Par:Survivor:Space:c(b),MaGC:Par:Survivor:Space:i(a),MaGC:Par:Survivor:Space:i(b),MaGC:Par:Survivor:Space:m(a),MaGC:Par:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:Par:Eden:Space:u(a-b),MiGC:Par:Eden:Space:c(a-b),MiGC:Par:Eden:Space:u(a),MiGC:Par:Eden:Space:u(b),MiGC:Par:Eden:Space:c(a),MiGC:Par:Eden:Space:c(b),MiGC:Par:Eden:Space:i(a),MiGC:Par:Eden:Space:i(b),MiGC:Par:Eden:Space:m(a),MiGC:Par:Eden:Space:m(b),MiGC:CMS:Old:Gen:u(a-b),MiGC:CMS:Old:Gen:c(a-b),MiGC:CMS:Old:Gen:u(a),MiGC:CMS:Old:Gen:u(b),MiGC:CMS:Old:Gen:c(a),MiGC:CMS:Old:Gen:c(b),MiGC:CMS:Old:Gen:i(a),MiGC:CMS:Old:Gen:i(b),MiGC:CMS:Old:Gen:m(a),MiGC:CMS:Old:Gen:m(b),MiGC:Par:Survivor:Space:u(a-b),MiGC:Par:Survivor:Space:c(a-b),MiGC:Par:Survivor:Space:u(a),MiGC:Par:Survivor:Space:u(b),MiGC:Par:Survivor:Space:c(a),MiGC:Par:Survivor:Space:c(b),MiGC:Par:Survivor:Space:i(a),MiGC:Par:Survivor:Space:i(b),MiGC:Par:Survivor:Space:m(a),MiGC:Par:Survivor:Space:m(b)
27527,209715200,9245816,200469384,27525,69926912,47894912,22032000,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,8,8.3754488E7,4.8128032E7,0.0,4.8128032E7,11693.0,27557,27562,5,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,116896,0,48011808,47894912,69926912,69926912,69926912,69926912,69926912,69926912,239808,0,1471416,1231608,3473408,3473408,3473408,3473408,3473408,3473408
31536,209715200,9249504,200465696,31534,69926912,48011808,21915104,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,9,1.11530312E8,4.8128032E7,0.0,4.8128032E7,15660.0,31517,31529,12,-27775824,0,0,27775824,27983872,27983872,27983872,27983872,27983872,27983872,0,0,48011808,48011808,69926912,69926912,69926912,69926912,69926912,69926912,-169784,0,1301632,1471416,3473408,3473408,3473408,3473408,3473408,3473408
34702,209715200,9261880,200453320,34700,69926912,48072304,21854608,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,10,1.39412432E8,4.8188528E7,0.0,4.8188528E7,18784.0,34641,34653,12,-27882120,0,0,27882120,27983872,27983872,27983872,27983872,27983872,27983872,60496,0,48072304,48011808,69926912,69926912,69926912,69926912,69926912,69926912,2048,0,1303680,1301632,3473408,3473408,3473408,3473408,3473408,3473408
38872,209715200,9268360,200446840,38870,69926912,48130816,21796096,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,11,1.67302032E8,4.824704E7,0.0,4.824704E7,22991.0,38857,38860,3,-27889600,0,0,27889600,27983872,27983872,27983872,27983872,27983872,27983872,58512,0,48130816,48072304,69926912,69926912,69926912,69926912,69926912,69926912,-155184,0,1148496,1303680,3473408,3473408,3473408,3473408,3473408,3473408
43683,209715200,9271424,200443776,43682,69926912,48162984,21763928,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,12,1.95216784E8,4.8279208E7,0.0,4.8279208E7,27752.0,43594,43621,27,-27914752,0,0,27914752,27983872,27983872,27983872,27983872,27983872,27983872,32168,0,48162984,48130816,69926912,69926912,69926912,69926912,69926912,69926912,-16504,0,1131992,1148496,3473408,3473408,3473408,3473408,3473408,3473408
48338,209715200,9273080,200442120,48336,69926912,48252504,21674408,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,13,2.23127032E8,4.8368728E7,0.0,4.8368728E7,32431.0,48296,48300,4,-27910248,0,0,27910248,27983872,27983872,27983872,27983872,27983872,27983872,89520,0,48252504,48162984,69926912,69926912,69926912,69926912,69926912,69926912,218584,0,1350576,1131992,3473408,3473408,3473408,3473408,3473408,3473408
53141,209715200,9274160,200441040,53090,69926912,48252504,21674408,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,14,2.51110904E8,4.8400776E7,0.0,4.8400776E7,37271.0,53129,53140,11,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,32048,0,48284552,48252504,69926912,69926912,69926912,69926912,69926912,69926912,167784,0,1518360,1350576,3473408,3473408,3473408,3473408,3473408,3473408
58415,209715200,9336720,200378480,58413,69926912,48344048,21582864,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,15,2.78821408E8,4.8460272E7,0.0,4.8460272E7,42463.0,58326,58332,6,-27710504,0,0,27710504,27983872,27983872,27983872,27983872,27983872,27983872,59496,0,48344048,48284552,69926912,69926912,69926912,69926912,69926912,69926912,-650360,0,868000,1518360,3473408,3473408,3473408,3473408,3473408,3473408
63161,209715200,9339696,200375504,63160,69926912,48373248,21553664,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,16,3.0680528E8,4.8489472E7,0.0,4.8489472E7,47182.0,63044,63051,7,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,29200,0,48373248,48344048,69926912,69926912,69926912,69926912,69926912,69926912,659544,0,1527544,868000,3473408,3473408,3473408,3473408,3473408,3473408
67922,209715200,9348624,200366576,67920,69926912,48431648,21495264,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,17,3.34735832E8,4.8547872E7,0.0,4.8547872E7,52028.0,67881,67897,16,-27930552,0,0,27930552,27983872,27983872,27983872,27983872,27983872,27983872,58400,0,48431648,48373248,69926912,69926912,69926912,69926912,69926912,69926912,-840368,0,687176,1527544,3473408,3473408,3473408,3473408,3473408,3473408
72840,209715200,9352248,200362952,72836,69926912,48490096,21436816,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,18,3.6265816E8,4.860632E7,0.0,4.860632E7,56890.0,72752,72759,7,-27922328,0,0,27922328,27983872,27983872,27983872,27983872,27983872,27983872,58448,0,48490096,48431648,69926912,69926912,69926912,69926912,69926912,69926912,290128,0,977304,687176,3473408,3473408,3473408,3473408,3473408,3473408
79859,209715200,9362256,200352944,79857,69926912,48490184,21436728,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,19,3.90642032E8,4.8606408E7,0.0,4.8606408E7,63892.0,79755,79761,6,-27983872,0,0,27983872,27983872,27983872,27983872,27983872,27983872,27983872,88,0,48490184,48490096,69926912,69926912,69926912,69926912,69926912,69926912,-946536,0,30768,977304,3473408,3473408,3473408,3473408,3473408,3473408
86818,209715200,9375696,200339504,86817,69926912,48492616,21434296,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,20,4.18602544E8,4.860884E7,0.0,4.860884E7,70927.0,86790,86796,6,-27960512,0,0,27960512,27983872,27983872,27983872,27983872,27983872,27983872,2432,0,48492616,48490184,69926912,69926912,69926912,69926912,69926912,69926912,1209656,0,1240424,30768,3473408,3473408,3473408,3473408,3473408,3473408
91724,209715200,9375696,200339504,91722,69926912,48617104,21309808,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,21,4.4635152E8,4.8733328E7,0.0,4.8733328E7,75839.0,91681,91708,27,-27748976,0,0,27748976,27983872,27983872,27983872,27983872,27983872,27983872,124488,0,48617104,48492616,69926912,69926912,69926912,69926912,69926912,69926912,5816,0,1246240,1240424,3473408,3473408,3473408,3473408,3473408,3473408
96220,209715200,9376008,200339192,96219,69926912,48617104,21309808,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,22,4.74319456E8,4.8733328E7,0.0,4.8733328E7,80330.0,96195,96199,4,-27967936,0,0,27967936,27983872,27983872,27983872,27983872,27983872,27983872,0,0,48617104,48617104,69926912,69926912,69926912,69926912,69926912,69926912,-178680,0,1067560,1246240,3473408,3473408,3473408,3473408,3473408,3473408
101108,209715200,9378488,200336712,101106,69926912,48705208,21221704,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,23,5.02240384E8,4.8821432E7,0.0,4.8821432E7,85236.0,101062,101105,43,-27920928,0,0,27920928,27983872,27983872,27983872,27983872,27983872,27983872,88104,0,48705208,48617104,69926912,69926912,69926912,69926912,69926912,69926912,-68624,0,998936,1067560,3473408,3473408,3473408,3473408,3473408,3473408
105228,209715200,9378656,200336544,105227,69926912,48734576,21192336,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,24,5.30163552E8,4.88508E7,0.0,4.88508E7,89346.0,105205,105215,10,-27923168,0,0,27923168,27983872,27983872,27983872,27983872,27983872,27983872,29368,0,48734576,48705208,69926912,69926912,69926912,69926912,69926912,69926912,385328,0,1384264,998936,3473408,3473408,3473408,3473408,3473408,3473408
109253,209715200,9379648,200335552,109252,69926912,48734576,21192336,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,25,5.57908464E8,4.88508E7,0.0,4.88508E7,93357.0,109209,109226,17,-27744912,0,0,27744912,27983872,27983872,27983872,27983872,27983872,27983872,0,0,48734576,48734576,69926912,69926912,69926912,69926912,69926912,69926912,-637600,0,746664,1384264,3473408,3473408,3473408,3473408,3473408,3473408
113466,209715200,9383240,200331960,113465,69926912,48851488,21075424,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,26,5.85880008E8,4.8967712E7,0.0,4.8967712E7,97560.0,113423,113429,6,-27971544,0,0,27971544,27983872,27983872,27983872,27983872,27983872,27983872,116912,0,48851488,48734576,69926912,69926912,69926912,69926912,69926912,69926912,-118976,0,765712,884688,3473408,3473408,3473408,3473408,3473408,3473408
118094,209715200,9383240,200331960,118084,69926912,48851488,21075424,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,27,6.13857384E8,4.8967712E7,0.0,4.8967712E7,102214.0,118053,118083,30,-27977376,0,0,27977376,27983872,27983872,27983872,27983872,27983872,27983872,0,0,48851488,48851488,69926912,69926912,69926912,69926912,69926912,69926912,396120,0,1161832,765712,3473408,3473408,3473408,3473408,3473408,3473408
123507,209715200,9383240,200331960,123506,69926912,48968456,20958456,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,28,6.4172608E8,4.908468E7,0.0,4.908468E7,107593.0,123455,123462,7,-27868696,0,0,27868696,27983872,27983872,27983872,27983872,27983872,27983872,116968,0,48968456,48851488,69926912,69926912,69926912,69926912,69926912,69926912,-322552,0,839280,1161832,3473408,3473408,3473408,3473408,3473408,3473408
127744,209715200,9383240,200331960,127742,69926912,48968456,20958456,7,1.0,19408,22386,2978,-6491640,0,16140224,22631864,27983872,27983872,27983872,27983872,27983872,27983872,15016,0,47893416,47878400,69926912,69926912,69926912,69926912,69926912,69926912,380056,0,1531072,1151016,3473408,3473408,3473408,3473408,3473408,3473408,29,6.69511784E8,4.9084832E7,0.0,4.9084832E7,111919.0,127773,127788,15,-27785704,0,0,27785704,27983872,27983872,27983872,27983872,27983872,27983872,152,0,48968608,48968456,69926912,69926912,69926912,69926912,69926912,69926912,263512,0,1102792,839280,3473408,3473408,3473408,3473408,3473408,3473408
