perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:PS:Survivor:Space:u(a-b),MiGC:PS:Survivor:Space:c(a-b),MiGC:PS:Survivor:Space:u(a),MiGC:PS:Survivor:Space:u(b),MiGC:PS:Survivor:Space:c(a),MiGC:PS:Survivor:Space:c(b),MiGC:PS:Survivor:Space:i(a),MiGC:PS:Survivor:Space:i(b),MiGC:PS:Survivor:Space:m(a),MiGC:PS:Survivor:Space:m(b),MiGC:PS:Old:Gen:u(a-b),MiGC:PS:Old:Gen:c(a-b),MiGC:PS:Old:Gen:u(a),MiGC:PS:Old:Gen:u(b),MiGC:PS:Old:Gen:c(a),MiGC:PS:Old:Gen:c(b),MiGC:PS:Old:Gen:i(a),MiGC:PS:Old:Gen:i(b),MiGC:PS:Old:Gen:m(a),MiGC:PS:Old:Gen:m(b),MiGC:PS:Eden:Space:u(a-b),MiGC:PS:Eden:Space:c(a-b),MiGC:PS:Eden:Space:u(a),MiGC:PS:Eden:Space:u(b),MiGC:PS:Eden:Space:c(a),MiGC:PS:Eden:Space:c(b),MiGC:PS:Eden:Space:i(a),MiGC:PS:Eden:Space:i(b),MiGC:PS:Eden:Space:m(a),MiGC:PS:Eden:Space:m(b)
21100,524288000,12763040,511524960,21097,279642112,3261456,276380656,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1.164967936E9,3277840.0,0.0,3277840.0,15933.0,21160,21179,19,-442512,-5046272,1360384,1802896,1376256,6422528,17432576,17432576,1376256,6422528,16384,0,3277840,3261456,279642112,279642112,279642112,279642112,279642112,279642112,-126812160,0,0,126812160,126812160,126812160,104923136,104923136,131858432,126877696
22245,524288000,12773672,511514328,22242,279642112,3286032,276356080,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1.291780096E9,3286032.0,0.0,3286032.0,16928.0,22171,22174,3,180288,5177344,1540672,1360384,6553600,1376256,17432576,17432576,6553600,1376256,8192,0,3286032,3277840,279642112,279642112,279642112,279642112,279642112,279642112,-126812160,-131072,0,126812160,126681088,126812160,104923136,104923136,126681088,131858432
23222,524288000,12780088,511507912,23219,279642112,3286032,276356080,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1.418461184E9,3294224.0,0.0,3294224.0,18002.0,23243,23248,5,-491552,-5439488,1049120,1540672,1114112,6553600,17432576,17432576,1114112,6553600,8192,0,3294224,3286032,279642112,279642112,279642112,279642112,279642112,279642112,-126681088,0,0,126681088,126681088,126681088,104923136,104923136,132055040,126681088
24868,524288000,12791848,511496152,24865,279642112,3302416,276339696,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1.545142272E9,3302416.0,0.0,3302416.0,19594.0,24835,24840,5,721072,5505024,1770192,1049120,6619136,1114112,17432576,17432576,6619136,1114112,8192,0,3302416,3294224,279642112,279642112,279642112,279642112,279642112,279642112,-126681088,65536,0,126681088,126746624,126681088,104923136,104923136,126746624,132055040
26233,524288000,12796080,511491920,26231,279642112,3310608,276331504,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1.671888896E9,3310608.0,0.0,3310608.0,20914.0,26156,26160,4,131040,-196608,1901232,1770192,6422528,6619136,17432576,17432576,6422528,6619136,8192,0,3310608,3302416,279642112,279642112,279642112,279642112,279642112,279642112,-126746624,0,0,126746624,126746624,126746624,104923136,104923136,127139840,126746624
27616,524288000,12797696,511490304,27613,279642112,3318800,276323312,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1.79863552E9,3318800.0,0.0,3318800.0,22363.0,27605,27609,4,-409808,-196608,1491424,1901232,6225920,6422528,17432576,17432576,6225920,6422528,8192,0,3318800,3310608,279642112,279642112,279642112,279642112,279642112,279642112,-126746624,720896,0,126746624,127467520,126746624,104923136,104923136,127467520,127139840
29287,524288000,12873600,511414400,29285,279642112,3326992,276315120,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1.92610304E9,3326992.0,0.0,3326992.0,24030.0,29270,29276,6,458880,-131072,1950304,1491424,6094848,6225920,17432576,17432576,6094848,6225920,8192,0,3326992,3318800,279642112,279642112,279642112,279642112,279642112,279642112,-127467520,0,0,127467520,127467520,127467520,104923136,104923136,127860736,127467520
30951,524288000,12887888,511400112,30946,279642112,3335184,276306928,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2.05357056E9,3335184.0,0.0,3335184.0,25690.0,30927,30936,9,-327664,-262144,1622640,1950304,5832704,6094848,17432576,17432576,5832704,6094848,8192,0,3335184,3326992,279642112,279642112,279642112,279642112,279642112,279642112,-127467520,786432,0,127467520,128253952,127467520,104923136,104923136,128253952,127860736
32445,524288000,12894008,511393992,32441,279642112,3343376,276298736,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2.181824512E9,3343376.0,0.0,3343376.0,27182.0,32423,32428,5,32784,-131072,1655424,1622640,5701632,5832704,17432576,17432576,5701632,5832704,8192,0,3343376,3335184,279642112,279642112,279642112,279642112,279642112,279642112,-128253952,0,0,128253952,128253952,128253952,104923136,104923136,128581632,128253952
33949,524288000,12899936,511388064,33946,279642112,3343376,276298736,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2.310078464E9,3351568.0,0.0,3351568.0,28741.0,33982,33987,5,163872,-196608,1819296,1655424,5505024,5701632,17432576,17432576,5505024,5701632,8192,0,3351568,3343376,279642112,279642112,279642112,279642112,279642112,279642112,-128253952,720896,0,128253952,128974848,128253952,104923136,104923136,128974848,128581632
