perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:PS:Survivor:Space:u(a-b),MiGC:PS:Survivor:Space:c(a-b),MiGC:PS:Survivor:Space:u(a),MiGC:PS:Survivor:Space:u(b),MiGC:PS:Survivor:Space:c(a),MiGC:PS:Survivor:Space:c(b),MiGC:PS:Survivor:Space:i(a),MiGC:PS:Survivor:Space:i(b),MiGC:PS:Survivor:Space:m(a),MiGC:PS:Survivor:Space:m(b),MiGC:PS:Old:Gen:u(a-b),MiGC:PS:Old:Gen:c(a-b),MiGC:PS:Old:Gen:u(a),MiGC:PS:Old:Gen:u(b),MiGC:PS:Old:Gen:c(a),MiGC:PS:Old:Gen:c(b),MiGC:PS:Old:Gen:i(a),MiGC:PS:Old:Gen:i(b),MiGC:PS:Old:Gen:m(a),MiGC:PS:Old:Gen:m(b),MiGC:PS:Eden:Space:u(a-b),MiGC:PS:Eden:Space:c(a-b),MiGC:PS:Eden:Space:u(a),MiGC:PS:Eden:Space:u(b),MiGC:PS:Eden:Space:c(a),MiGC:PS:Eden:Space:c(b),MiGC:PS:Eden:Space:i(a),MiGC:PS:Eden:Space:i(b),MiGC:PS:Eden:Space:m(a),MiGC:PS:Eden:Space:m(b)
25317,524288000,17090536,507197464,25316,1118502912,3611368,1114891544,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4.660658176E9,3611368.0,0.0,3611368.0,19233.0,25217,25260,43,163840,-524288,10846208,10682368,21430272,21954560,69861376,69861376,21430272,21954560,8192,0,3611368,3603176,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-515833856,0,0,515833856,515833856,515833856,419495936,419495936,516882432,515833856
27136,524288000,17105576,507182424,27134,1118502912,3619560,1114883352,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5.176492032E9,3619560.0,0.0,3619560.0,21105.0,27088,27132,44,32768,-524288,10878976,10846208,20905984,21430272,69861376,69861376,20905984,21430272,8192,0,3619560,3611368,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-515833856,2162688,0,515833856,517996544,515833856,419495936,419495936,517996544,516882432
30723,524288000,17128432,507159568,30721,1118502912,3635944,1114866968,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5.694488576E9,3635944.0,0.0,3635944.0,24663.0,30648,30690,42,262144,-589824,11141120,10878976,20316160,20905984,69861376,69861376,20316160,20905984,16384,0,3635944,3619560,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-517996544,0,0,517996544,517996544,517996544,419495936,419495936,519176192,517996544
32723,524288000,17144040,507143960,32690,1118502912,3635944,1114866968,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6.21248512E9,3652328.0,0.0,3652328.0,26694.0,32690,32721,31,688128,-589824,11829248,11141120,19726336,20316160,69861376,69861376,19726336,20316160,16384,0,3652328,3635944,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-517996544,2424832,0,517996544,520421376,517996544,419495936,419495936,520421376,519176192
34800,524288000,17152928,507135072,34799,1118502912,3668712,1114834200,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6.732906496E9,3668712.0,0.0,3668712.0,28769.0,34752,34796,44,1343488,-655360,13172736,11829248,19070976,19726336,69861376,69861376,19070976,19726336,16384,0,3668712,3652328,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-520421376,0,0,520421376,520421376,520421376,419495936,419495936,521404416,520421376
37441,524288000,17181336,507106664,37439,1118502912,3676904,1114826008,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7.253327872E9,3676904.0,0.0,3676904.0,31390.0,37387,37417,30,688128,-327680,13860864,13172736,18743296,19070976,69861376,69861376,18743296,19070976,8192,0,3676904,3668712,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-520421376,1376256,0,520421376,521797632,520421376,419495936,419495936,521797632,521404416
39904,524288000,17215368,507072632,39903,1118502912,3693288,1114809624,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7.775125504E9,3693288.0,0.0,3693288.0,33861.0,39845,39888,43,1245184,-3604480,15106048,13860864,15138816,18743296,69861376,69861376,15138816,18743296,16384,0,3693288,3676904,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-521797632,0,0,521797632,521797632,521797632,419495936,419495936,525008896,521797632
42211,524288000,17229656,507058344,42210,1118502912,3709672,1114793240,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8.296923136E9,3709672.0,0.0,3709672.0,36181.0,42111,42208,97,950272,3932160,16056320,15106048,19070976,15138816,69861376,69861376,19070976,15138816,16384,0,3709672,3693288,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-521797632,-1900544,0,521797632,519897088,521797632,419495936,419495936,520486912,525008896
44665,524288000,17241376,507046624,44664,1118502912,3726056,1114776856,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8.816820224E9,3726056.0,0.0,3726056.0,38636.0,44611,44663,52,1605632,-1376256,17661952,16056320,17694720,19070976,69861376,69861376,17694720,19070976,16384,0,3726056,3709672,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-519897088,0,0,519897088,519897088,519897088,419495936,419495936,520814592,520486912
47323,524288000,17252256,507035744,47322,1118502912,3742440,1114760472,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9.336717312E9,3742440.0,0.0,3742440.0,41252.0,47245,47279,34,917504,3014656,18579456,17661952,20709376,17694720,69861376,69861376,20709376,17694720,16384,0,3742440,3726056,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-519897088,-4456448,0,519897088,515440640,519897088,419495936,419495936,516620288,520814592
