perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:PS:Survivor:Space:u(a-b),MiGC:PS:Survivor:Space:c(a-b),MiGC:PS:Survivor:Space:u(a),MiGC:PS:Survivor:Space:u(b),MiGC:PS:Survivor:Space:c(a),MiGC:PS:Survivor:Space:c(b),MiGC:PS:Survivor:Space:i(a),MiGC:PS:Survivor:Space:i(b),MiGC:PS:Survivor:Space:m(a),MiGC:PS:Survivor:Space:m(b),MiGC:PS:Old:Gen:u(a-b),MiGC:PS:Old:Gen:c(a-b),MiGC:PS:Old:Gen:u(a),MiGC:PS:Old:Gen:u(b),MiGC:PS:Old:Gen:c(a),MiGC:PS:Old:Gen:c(b),MiGC:PS:Old:Gen:i(a),MiGC:PS:Old:Gen:i(b),MiGC:PS:Old:Gen:m(a),MiGC:PS:Old:Gen:m(b),MiGC:PS:Eden:Space:u(a-b),MiGC:PS:Eden:Space:c(a-b),MiGC:PS:Eden:Space:u(a),MiGC:PS:Eden:Space:u(b),MiGC:PS:Eden:Space:c(a),MiGC:PS:Eden:Space:c(b),MiGC:PS:Eden:Space:i(a),MiGC:PS:Eden:Space:i(b),MiGC:PS:Eden:Space:m(a),MiGC:PS:Eden:Space:m(b)
57562,524288000,10392880,513895120,57560,69926912,8604080,61322832,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2.26361344E8,8604080.0,0.0,8604080.0,56523.0,57553,57559,6,-262144,0,262144,524288,8388608,8388608,4325376,4325376,8388608,8388608,499712,0,8604080,8104368,69926912,69926912,69926912,69926912,69926912,69926912,-18153472,0,0,18153472,18153472,18153472,26279936,26279936,18219008,18153472
61563,524288000,10395016,513892984,61561,69926912,8858032,61068880,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2.44514816E8,8858032.0,0.0,8858032.0,60495.0,61524,61531,7,65536,-65536,327680,262144,8323072,8388608,4325376,4325376,8323072,8388608,253952,0,8858032,8604080,69926912,69926912,69926912,69926912,69926912,69926912,-18153472,196608,0,18153472,18350080,18153472,26279936,26279936,18350080,18219008
65313,524288000,10398120,513889880,65311,69926912,9128368,60798544,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2.62864896E8,9128368.0,0.0,9128368.0,64246.0,65276,65282,6,0,-65536,327680,327680,8257536,8323072,4325376,4325376,8257536,8323072,270336,0,9128368,8858032,69926912,69926912,69926912,69926912,69926912,69926912,-18350080,0,0,18350080,18350080,18350080,26279936,26279936,18612224,18350080
68830,524288000,10402016,513885984,68828,69926912,9431472,60495440,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2.81214976E8,9431472.0,0.0,9431472.0,67784.0,68817,68820,3,-65536,-196608,262144,327680,8060928,8257536,4325376,4325376,8060928,8257536,303104,0,9431472,9128368,69926912,69926912,69926912,69926912,69926912,69926912,-18350080,655360,0,18350080,19005440,18350080,26279936,26279936,19005440,18612224
72531,524288000,10405904,513882096,72529,69926912,9685424,60241488,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3.00220416E8,9685424.0,0.0,9685424.0,71415.0,72435,72451,16,98304,-196608,360448,262144,7864320,8060928,4325376,4325376,7864320,8060928,253952,0,9685424,9431472,69926912,69926912,69926912,69926912,69926912,69926912,-19005440,0,0,19005440,19005440,19005440,26279936,26279936,19464192,19005440
76530,524288000,10407920,513880080,76529,69926912,9963952,59962960,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3.19225856E8,9963952.0,0.0,9963952.0,75389.0,76413,76425,12,-32768,-262144,327680,360448,7602176,7864320,4325376,4325376,7602176,7864320,278528,0,9963952,9685424,69926912,69926912,69926912,69926912,69926912,69926912,-19005440,983040,0,19005440,19988480,19005440,26279936,26279936,19988480,19464192
80695,524288000,10409136,513878864,80693,69926912,10234288,59692624,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3.39214336E8,1.0234288E7,0.0,1.0234288E7,79653.0,80625,80689,64,32768,-262144,360448,327680,7340032,7602176,4325376,4325376,7340032,7602176,270336,0,10234288,9963952,69926912,69926912,69926912,69926912,69926912,69926912,-19988480,0,0,19988480,19988480,19988480,26279936,26279936,20578304,19988480
85004,524288000,10409136,513878864,85002,69926912,10537392,59389520,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3.59202816E8,1.0537392E7,0.0,1.0537392E7,83938.0,84968,84974,6,-65536,-327680,294912,360448,7012352,7340032,4325376,4325376,7012352,7340032,303104,0,10537392,10234288,69926912,69926912,69926912,69926912,69926912,69926912,-19988480,1179648,0,19988480,21168128,19988480,26279936,26279936,21168128,20578304
89121,524288000,10420504,513867496,89119,69926912,10537392,59389520,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3.80370944E8,1.0832304E7,0.0,1.0832304E7,88122.0,89128,89158,30,3067536,-262144,3362448,294912,6750208,7012352,4325376,4325376,6750208,7012352,294912,0,10832304,10537392,69926912,69926912,69926912,69926912,69926912,69926912,-21168128,0,0,21168128,21168128,21168128,26279936,26279936,21299200,21168128
94536,524288000,10423064,513864936,94535,69926912,14092000,55834912,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4.01539072E8,1.4092E7,0.0,1.4092E7,93487.0,94485,94523,38,-177936,131072,3184512,3362448,6881280,6750208,4325376,4325376,6881280,6750208,3259696,0,14092000,10832304,69926912,69926912,69926912,69926912,69926912,69926912,-21168128,-131072,0,21168128,21037056,21168128,26279936,26279936,21102592,21299200
