perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:PS:Survivor:Space:u(a-b),MiGC:PS:Survivor:Space:c(a-b),MiGC:PS:Survivor:Space:u(a),MiGC:PS:Survivor:Space:u(b),MiGC:PS:Survivor:Space:c(a),MiGC:PS:Survivor:Space:c(b),MiGC:PS:Survivor:Space:i(a),MiGC:PS:Survivor:Space:i(b),MiGC:PS:Survivor:Space:m(a),MiGC:PS:Survivor:Space:m(b),MiGC:PS:Old:Gen:u(a-b),MiGC:PS:Old:Gen:c(a-b),MiGC:PS:Old:Gen:u(a),MiGC:PS:Old:Gen:u(b),MiGC:PS:Old:Gen:c(a),MiGC:PS:Old:Gen:c(b),MiGC:PS:Old:Gen:i(a),MiGC:PS:Old:Gen:i(b),MiGC:PS:Old:Gen:m(a),MiGC:PS:Old:Gen:m(b),MiGC:PS:Eden:Space:u(a-b),MiGC:PS:Eden:Space:c(a-b),MiGC:PS:Eden:Space:u(a),MiGC:PS:Eden:Space:u(b),MiGC:PS:Eden:Space:c(a),MiGC:PS:Eden:Space:c(b),MiGC:PS:Eden:Space:i(a),MiGC:PS:Eden:Space:i(b),MiGC:PS:Eden:Space:m(a),MiGC:PS:Eden:Space:m(b)
25079,524288000,11279144,513008856,25069,279642112,204926488,74715624,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6.9926912E8,2.04926488E8,0.0,2.04926488E8,18885.0,24934,25068,134,-950288,0,10780672,11730960,46596096,46596096,17432576,17432576,46596096,46596096,11255808,0,204926488,193670680,279642112,279642112,279642112,279642112,279642112,279642112,-46596096,0,0,46596096,46596096,46596096,104923136,104923136,46596096,46596096
27049,524288000,11290016,512997984,27040,279642112,215592472,64049640,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7.45865216E8,2.15592472E8,0.0,2.15592472E8,20856.0,26893,27039,146,622592,0,11403264,10780672,46596096,46596096,17432576,17432576,46596096,46596096,10665984,0,215592472,204926488,279642112,279642112,279642112,279642112,279642112,279642112,-46596096,0,0,46596096,46596096,46596096,104923136,104923136,46596096,46596096
29388,524288000,11296112,512991888,29380,279642112,226766360,52875752,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7.92461312E8,2.2676636E8,0.0,2.2676636E8,23195.0,29240,29378,138,-1376256,0,10027008,11403264,46596096,46596096,17432576,17432576,46596096,46596096,11173888,0,226766360,215592472,279642112,279642112,279642112,279642112,279642112,279642112,-46596096,0,0,46596096,46596096,46596096,104923136,104923136,46596096,46596096
32183,524288000,11303376,512984624,32176,279642112,236670488,42971624,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8.39057408E8,2.36670488E8,0.0,2.36670488E8,25992.0,32018,32175,157,1146880,0,11173888,10027008,46596096,46596096,17432576,17432576,46596096,46596096,9904128,0,236670488,226766360,279642112,279642112,279642112,279642112,279642112,279642112,-46596096,0,0,46596096,46596096,46596096,104923136,104923136,46596096,46596096
43326,524288000,11305920,512982080,43324,279642112,256910352,22731760,1,14.0,33324,43322,9998,-12451856,0,0,12451856,46596096,46596096,17432576,17432576,46596096,46596096,9139704,0,256910352,247770648,279642112,279642112,279642112,279642112,279642112,279642112,0,0,0,0,46596096,46596096,104923136,104923136,46596096,46596096,16,8.85653504E8,2.47770648E8,0.0,2.47770648E8,27141.0,33188,33324,136,1277968,0,12451856,11173888,46596096,46596096,17432576,17432576,46596096,46596096,11100160,0,247770648,236670488,279642112,279642112,279642112,279642112,279642112,279642112,-46596096,0,0,46596096,46596096,46596096,104923136,104923136,46596096,46596096
49354,524288000,11318440,512969560,49351,279642112,267957368,11684744,2,1.0,45638,49350,3712,0,0,0,0,46596096,46596096,17432576,17432576,46596096,46596096,11047016,0,267957368,256910352,279642112,279642112,279642112,279642112,279642112,279642112,-46596096,0,0,46596096,46596096,46596096,104923136,104923136,46596096,46596096,16,8.85653504E8,2.47770648E8,0.0,2.47770648E8,27141.0,33188,33324,136,1277968,0,12451856,11173888,46596096,46596096,17432576,17432576,46596096,46596096,11100160,0,247770648,236670488,279642112,279642112,279642112,279642112,279642112,279642112,-46596096,0,0,46596096,46596096,46596096,104923136,104923136,46596096,46596096
56438,524288000,11319288,512968712,56436,279642112,278690408,951704,3,0.0,52073,56434,4361,0,0,0,0,46596096,46596096,17432576,17432576,46596096,46596096,10733040,0,278690408,267957368,279642112,279642112,279642112,279642112,279642112,279642112,-46596096,0,0,46596096,46596096,46596096,104923136,104923136,46596096,46596096,16,8.85653504E8,2.47770648E8,0.0,2.47770648E8,27141.0,33188,33324,136,1277968,0,12451856,11173888,46596096,46596096,17432576,17432576,46596096,46596096,11100160,0,247770648,236670488,279642112,279642112,279642112,279642112,279642112,279642112,-46596096,0,0,46596096,46596096,46596096,104923136,104923136,46596096,46596096
58113,524288000,11320040,512967960,58111,279642112,278690408,951704,4,0.0,58113,61038,2925,0,0,0,0,46596096,46596096,17432576,17432576,46596096,46596096,951488,0,279641896,278690408,279642112,279642112,279642112,279642112,279642112,279642112,-37366896,0,9229200,46596096,46596096,46596096,104923136,104923136,46596096,46596096,16,8.85653504E8,2.47770648E8,0.0,2.47770648E8,27141.0,33188,33324,136,1277968,0,12451856,11173888,46596096,46596096,17432576,17432576,46596096,46596096,11100160,0,247770648,236670488,279642112,279642112,279642112,279642112,279642112,279642112,-46596096,0,0,46596096,46596096,46596096,104923136,104923136,46596096,46596096
66104,524288000,11321144,512966856,66095,279642112,279641896,216,5,0.0,62705,66094,3389,0,0,0,0,46596096,46596096,17432576,17432576,46596096,46596096,0,0,279641896,279641896,279642112,279642112,279642112,279642112,279642112,279642112,-28735176,0,17860920,46596096,46596096,46596096,104923136,104923136,46596096,46596096,16,8.85653504E8,2.47770648E8,0.0,2.47770648E8,27141.0,33188,33324,136,1277968,0,12451856,11173888,46596096,46596096,17432576,17432576,46596096,46596096,11100160,0,247770648,236670488,279642112,279642112,279642112,279642112,279642112,279642112,-46596096,0,0,46596096,46596096,46596096,104923136,104923136,46596096,46596096
75261,524288000,11321376,512966624,75255,279642112,279641640,472,6,0.0,68075,75253,7178,0,0,0,0,46596096,46596096,17432576,17432576,46596096,46596096,-256,0,279641640,279641896,279642112,279642112,279642112,279642112,279642112,279642112,-22549088,0,24047008,46596096,46596096,46596096,104923136,104923136,46596096,46596096,16,8.85653504E8,2.47770648E8,0.0,2.47770648E8,27141.0,33188,33324,136,1277968,0,12451856,11173888,46596096,46596096,17432576,17432576,46596096,46596096,11100160,0,247770648,236670488,279642112,279642112,279642112,279642112,279642112,279642112,-46596096,0,0,46596096,46596096,46596096,104923136,104923136,46596096,46596096
