perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:PS:Survivor:Space:u(a-b),MiGC:PS:Survivor:Space:c(a-b),MiGC:PS:Survivor:Space:u(a),MiGC:PS:Survivor:Space:u(b),MiGC:PS:Survivor:Space:c(a),MiGC:PS:Survivor:Space:c(b),MiGC:PS:Survivor:Space:i(a),MiGC:PS:Survivor:Space:i(b),MiGC:PS:Survivor:Space:m(a),MiGC:PS:Survivor:Space:m(b),MiGC:PS:Old:Gen:u(a-b),MiGC:PS:Old:Gen:c(a-b),MiGC:PS:Old:Gen:u(a),MiGC:PS:Old:Gen:u(b),MiGC:PS:Old:Gen:c(a),MiGC:PS:Old:Gen:c(b),MiGC:PS:Old:Gen:i(a),MiGC:PS:Old:Gen:i(b),MiGC:PS:Old:Gen:m(a),MiGC:PS:Old:Gen:m(b),MiGC:PS:Eden:Space:u(a-b),MiGC:PS:Eden:Space:c(a-b),MiGC:PS:Eden:Space:u(a),MiGC:PS:Eden:Space:u(b),MiGC:PS:Eden:Space:c(a),MiGC:PS:Eden:Space:c(b),MiGC:PS:Eden:Space:i(a),MiGC:PS:Eden:Space:i(b),MiGC:PS:Eden:Space:m(a),MiGC:PS:Eden:Space:m(b)
38046,524288000,11281072,513006928,38034,1118502912,8192,1118494720,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,37939,38017,78,7643432,0,7643432,0,69861376,69861376,69861376,69861376,69861376,69861376,8192,0,8192,0,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-419495936,0,0,419495936,419495936,419495936,419495936,419495936,419495936,419495936
53109,524288000,11479448,512808552,53102,1118502912,16384,1118486528,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.19495936E8,16384.0,0.0,16384.0,13595.0,47499,51612,4113,-106616,0,7536816,7643432,69861376,69861376,69861376,69861376,69861376,69861376,8192,0,16384,8192,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-419495936,0,0,419495936,419495936,419495936,419495936,419495936,419495936,419495936
54423,524288000,11481296,512806704,54419,1118502912,16384,1118486528,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.38991872E8,16384.0,0.0,16384.0,16354.0,54305,54371,66,147472,0,7684288,7536816,69861376,69861376,69861376,69861376,69861376,69861376,0,0,16384,16384,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-419495936,0,0,419495936,419495936,419495936,419495936,419495936,419495936,419495936
65273,524288000,11491464,512796536,65188,1118502912,24576,1118478336,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.258487808E9,24576.0,0.0,24576.0,27235.0,65212,65252,40,-103664,0,7580624,7684288,69861376,69861376,69861376,69861376,69861376,69861376,8192,0,24576,16384,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-419495936,0,0,419495936,419495936,419495936,419495936,419495936,419495936,419495936
76027,524288000,11507912,512780088,76017,1118502912,32768,1118470144,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.677983744E9,32768.0,0.0,32768.0,37987.0,75662,76004,342,-46472,0,7534152,7580624,69861376,69861376,69861376,69861376,69861376,69861376,8192,0,32768,24576,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-419495936,0,0,419495936,419495936,419495936,419495936,419495936,481624064,419495936
82502,524288000,11510576,512777424,82473,1118502912,32768,1118470144,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.09747968E9,32768.0,0.0,32768.0,44398.0,82260,82415,155,193912,-62128128,7728064,7534152,7733248,69861376,69861376,69861376,7733248,69861376,0,0,32768,32768,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-419495936,124125184,0,419495936,543621120,419495936,419495936,419495936,543686656,481624064
99080,524288000,11518168,512769832,99001,1118502912,5105616,1113397296,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.6411008E9,5105616.0,0.0,5105616.0,60913.0,98899,98930,31,-5194208,-5177344,2533856,7728064,2555904,7733248,69861376,69861376,2555904,7733248,5072848,0,5105616,32768,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-543621120,0,0,543621120,543621120,543621120,419495936,419495936,547749888,543686656
112081,524288000,11529760,512758240,112077,1118502912,5122000,1113380912,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.18472192E9,5122000.0,0.0,5122000.0,74055.0,111520,112072,552,-84600,6356992,2449256,2533856,8912896,2555904,69861376,69861376,8912896,2555904,16384,0,5122000,5105616,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-543621120,-3538944,0,543621120,540082176,543621120,419495936,419495936,540737536,547749888
125332,524288000,11538624,512749376,125325,1118502912,5130192,1113372720,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.724804096E9,5130192.0,0.0,5130192.0,87286.0,125271,125303,32,0,-6422528,2449256,2449256,2490368,8912896,69861376,69861376,2490368,8912896,8192,0,5130192,5122000,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-540082176,0,0,540082176,540082176,540082176,419495936,419495936,546832384,540737536
130552,524288000,11540296,512747704,130550,1118502912,5138384,1113364528,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4.264886272E9,5138384.0,0.0,5138384.0,92451.0,130428,130468,40,-32768,7405568,2416488,2449256,9895936,2490368,69861376,69861376,9895936,2490368,8192,0,5138384,5130192,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-540082176,-1179648,0,540082176,538902528,540082176,419495936,419495936,539164672,546832384
131906,524288000,11541048,512746952,131897,1118502912,5138384,1113364528,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4.8037888E9,5435976.0,0.0,5435976.0,98702.0,136690,136719,29,-131072,-7602176,2285416,2416488,2293760,9895936,69861376,69861376,2293760,9895936,297592,0,5435976,5138384,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-538902528,0,0,538902528,538902528,538902528,419495936,419495936,546701312,539164672
141982,524288000,11548880,512739120,141973,1118502912,5542472,1112960440,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5.342691328E9,5542472.0,0.0,5542472.0,103336.0,141324,141353,29,243080,7929856,2528496,2285416,10223616,2293760,69861376,69861376,10223616,2293760,106496,0,5542472,5435976,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-538902528,-131072,0,538902528,538771456,538902528,419495936,419495936,538771456,546701312
146629,524288000,11558160,512729840,146617,1118502912,5591624,1112911288,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5.881462784E9,5591624.0,0.0,5591624.0,108587.0,146550,146604,54,169200,0,2697696,2528496,10223616,10223616,69861376,69861376,10223616,10223616,49152,0,5591624,5542472,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-538771456,0,0,538771456,538771456,538771456,419495936,419495936,538902528,538771456
162895,524288000,11585600,512702400,162893,1118502912,5616232,1112886680,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6.42023424E9,5616232.0,0.0,5616232.0,124855.0,162830,162872,42,2755640,-131072,5453336,2697696,10092544,10223616,69861376,69861376,10092544,10223616,24608,0,5616232,5591624,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-538771456,524288,0,538771456,539295744,538771456,419495936,419495936,539295744,538902528
176415,524288000,11590672,512697328,176412,1118502912,8669496,1109833416,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6.959529984E9,8669496.0,0.0,8669496.0,138271.0,176104,176288,184,-2873008,-262144,2580328,5453336,9830400,10092544,69861376,69861376,9830400,10092544,3053264,0,8669496,5616232,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-539295744,0,0,539295744,539295744,539295744,419495936,419495936,539688960,539295744
180557,524288000,11591600,512696400,180552,1118502912,8685880,1109817032,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7.498825728E9,8685880.0,0.0,8685880.0,142533.0,180510,180550,40,-46472,-131072,2533856,2580328,9699328,9830400,69861376,69861376,9699328,9830400,16384,0,8685880,8669496,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-539295744,655360,0,539295744,539951104,539295744,419495936,419495936,539951104,539688960
183076,524288000,11592352,512695648,183074,1118502912,9285176,1109217736,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8.038776832E9,9285176.0,0.0,9285176.0,144999.0,182988,183016,28,-510584,-131072,2023272,2533856,9568256,9699328,69861376,69861376,9568256,9699328,599296,0,9285176,8685880,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-539951104,0,0,539951104,539951104,539951104,419495936,419495936,540213248,539951104
188479,524288000,11594768,512693232,188477,1118502912,9771184,1108731728,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8.578727936E9,9771184.0,0.0,9771184.0,150439.0,188448,188456,8,112008,-131072,2135280,2023272,9437184,9568256,69861376,69861376,9437184,9568256,486008,0,9771184,9285176,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-539951104,589824,0,539951104,540540928,539951104,419495936,419495936,540540928,540213248
194948,524288000,11596840,512691160,194946,1118502912,9984176,1108518736,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9.119268864E9,9984176.0,0.0,9984176.0,156908.0,194902,194925,23,379512,-196608,2514792,2135280,9240576,9437184,69861376,69861376,9240576,9437184,212992,0,9984176,9771184,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-540540928,0,0,540540928,540540928,540540928,419495936,419495936,540999680,540540928
200505,524288000,11597240,512690760,200504,1118502912,10322728,1108180184,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9.659809792E9,1.0322728E7,0.0,1.0322728E7,162455.0,200460,200472,12,-281208,-262144,2233584,2514792,8978432,9240576,69861376,69861376,8978432,9240576,338552,0,10322728,9984176,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-540540928,983040,0,540540928,541523968,540540928,419495936,419495936,541523968,540999680
206355,524288000,11602432,512685568,206353,1118502912,10437448,1108065464,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1.020133376E10,1.0437448E7,0.0,1.0437448E7,168320.0,206308,206337,29,319336,-262144,2552920,2233584,8716288,8978432,69861376,69861376,8716288,8978432,114720,0,10437448,10322728,1118502912,1118502912,1118502912,1118502912,1118502912,1118502912,-541523968,0,0,541523968,541523968,541523968,419495936,419495936,542113792,541523968
