perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:PS:Survivor:Space:u(a-b),MiGC:PS:Survivor:Space:c(a-b),MiGC:PS:Survivor:Space:u(a),MiGC:PS:Survivor:Space:u(b),MiGC:PS:Survivor:Space:c(a),MiGC:PS:Survivor:Space:c(b),MiGC:PS:Survivor:Space:i(a),MiGC:PS:Survivor:Space:i(b),MiGC:PS:Survivor:Space:m(a),MiGC:PS:Survivor:Space:m(b),MiGC:PS:Old:Gen:u(a-b),MiGC:PS:Old:Gen:c(a-b),MiGC:PS:Old:Gen:u(a),MiGC:PS:Old:Gen:u(b),MiGC:PS:Old:Gen:c(a),MiGC:PS:Old:Gen:c(b),MiGC:PS:Old:Gen:i(a),MiGC:PS:Old:Gen:i(b),MiGC:PS:Old:Gen:m(a),MiGC:PS:Old:Gen:m(b),MiGC:PS:Eden:Space:u(a-b),MiGC:PS:Eden:Space:c(a-b),MiGC:PS:Eden:Space:u(a),MiGC:PS:Eden:Space:u(b),MiGC:PS:Eden:Space:c(a),MiGC:PS:Eden:Space:c(b),MiGC:PS:Eden:Space:i(a),MiGC:PS:Eden:Space:i(b),MiGC:PS:Eden:Space:m(a),MiGC:PS:Eden:Space:m(b)
20967,524288000,19139224,505148776,20951,279642112,8192,279633920,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,20795,20949,154,5287736,0,5287736,0,17432576,17432576,17432576,17432576,17432576,17432576,8192,0,8192,0,279642112,279642112,279642112,279642112,279642112,279642112,-104923136,0,0,104923136,104923136,104923136,104923136,104923136,104923136,104923136
30975,524288000,26444096,497843904,30972,279642112,16384,279625728,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.04923136E8,16384.0,0.0,16384.0,10023.0,30809,30972,163,6106576,0,11394312,5287736,17432576,17432576,17432576,17432576,17432576,17432576,8192,0,16384,8192,279642112,279642112,279642112,279642112,279642112,279642112,-104923136,0,0,104923136,104923136,104923136,104923136,104923136,104923136,104923136
40556,524288000,31744432,492543568,40542,279642112,24576,279617536,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.09846272E8,24576.0,0.0,24576.0,19590.0,40345,40539,194,2167560,0,13561872,11394312,17432576,17432576,17432576,17432576,17432576,17432576,8192,0,24576,16384,279642112,279642112,279642112,279642112,279642112,279642112,-104923136,0,0,104923136,104923136,104923136,104923136,104923136,104923136,104923136
78877,524288000,36226512,488061488,78873,279642112,24576,279617536,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.14769408E8,32768.0,0.0,32768.0,58086.0,78892,79035,143,3666864,0,17228736,13561872,17432576,17432576,17432576,17432576,17432576,17432576,8192,0,32768,24576,279642112,279642112,279642112,279642112,279642112,279642112,-104923136,0,0,104923136,104923136,104923136,104923136,104923136,104923136,104923136
142859,524288000,36265224,488022776,142857,279642112,32768,279609344,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.19692544E8,541056.0,0.0,541056.0,122057.0,142861,143006,145,177984,0,17406720,17228736,17432576,17432576,17432576,17432576,17432576,17432576,508288,0,541056,32768,279642112,279642112,279642112,279642112,279642112,279642112,-104923136,-2621440,0,104923136,102301696,104923136,104923136,104923136,104923136,104923136
