perm-s t,perm-s c,perm-s u,perm-s f,og-s t,og-s c,og-s u,og-s f,MaGC-s id,MaGC-# miGCs,MaGC:start,MaGC:end,MaGC:duration,MaGC:Tenured:Gen:u(a-b),MaGC:Tenured:Gen:c(a-b),MaGC:Tenured:Gen:u(a),MaGC:Tenured:Gen:u(b),MaGC:Tenured:Gen:c(a),MaGC:Tenured:Gen:c(b),MaGC:Tenured:Gen:i(a),MaGC:Tenured:Gen:i(b),MaGC:Tenured:Gen:m(a),MaGC:Tenured:Gen:m(b),MaGC:Eden:Space:u(a-b),MaGC:Eden:Space:c(a-b),MaGC:Eden:Space:u(a),MaGC:Eden:Space:u(b),MaGC:Eden:Space:c(a),MaGC:Eden:Space:c(b),MaGC:Eden:Space:i(a),MaGC:Eden:Space:i(b),MaGC:Eden:Space:m(a),MaGC:Eden:Space:m(b),MaGC:Survivor:Space:u(a-b),MaGC:Survivor:Space:c(a-b),MaGC:Survivor:Space:u(a),MaGC:Survivor:Space:u(b),MaGC:Survivor:Space:c(a),MaGC:Survivor:Space:c(b),MaGC:Survivor:Space:i(a),MaGC:Survivor:Space:i(b),MaGC:Survivor:Space:m(a),MaGC:Survivor:Space:m(b),MiGC-s id,MiGC-T eMA,MiGC-T ogMA,MiGC-T ogMA%MiGCs,MiGC-T ogMAByMiGCs,MiGC-T t%MiGCs,MiGC:start,MiGC:end,MiGC:duration,MiGC:PS:Survivor:Space:u(a-b),MiGC:PS:Survivor:Space:c(a-b),MiGC:PS:Survivor:Space:u(a),MiGC:PS:Survivor:Space:u(b),MiGC:PS:Survivor:Space:c(a),MiGC:PS:Survivor:Space:c(b),MiGC:PS:Survivor:Space:i(a),MiGC:PS:Survivor:Space:i(b),MiGC:PS:Survivor:Space:m(a),MiGC:PS:Survivor:Space:m(b),MiGC:PS:Old:Gen:u(a-b),MiGC:PS:Old:Gen:c(a-b),MiGC:PS:Old:Gen:u(a),MiGC:PS:Old:Gen:u(b),MiGC:PS:Old:Gen:c(a),MiGC:PS:Old:Gen:c(b),MiGC:PS:Old:Gen:i(a),MiGC:PS:Old:Gen:i(b),MiGC:PS:Old:Gen:m(a),MiGC:PS:Old:Gen:m(b),MiGC:PS:Eden:Space:u(a-b),MiGC:PS:Eden:Space:c(a-b),MiGC:PS:Eden:Space:u(a),MiGC:PS:Eden:Space:u(b),MiGC:PS:Eden:Space:c(a),MiGC:PS:Eden:Space:c(b),MiGC:PS:Eden:Space:i(a),MiGC:PS:Eden:Space:i(b),MiGC:PS:Eden:Space:m(a),MiGC:PS:Eden:Space:m(b)
19824,524288000,11503824,512784176,19811,279642112,7688536,271953576,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1.060503552E9,7688536.0,0.0,7688536.0,9293.0,19746,19788,42,-1367912,-9043968,1034872,2402784,1048576,10092544,17432576,17432576,1048576,10092544,1280480,0,7688536,6408056,279642112,279642112,279642112,279642112,279642112,279642112,-119668736,0,0,119668736,119668736,119668736,104923136,104923136,128581632,119668736
20786,524288000,11508152,512779848,20781,279642112,7688536,271953576,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1.180172288E9,8700144.0,0.0,8700144.0,10344.0,20828,20839,11,-772728,9109504,262144,1034872,10158080,1048576,17432576,17432576,10158080,1048576,1011608,0,8700144,7688536,279642112,279642112,279642112,279642112,279642112,279642112,-119668736,-589824,0,119668736,119078912,119668736,104923136,104923136,119275520,128581632
21797,524288000,11509384,512778616,21783,279642112,8937712,270704400,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1.2992512E9,8937712.0,0.0,8937712.0,11287.0,21776,21782,6,360448,196608,622592,262144,10354688,10158080,17432576,17432576,10354688,10158080,237568,0,8937712,8700144,279642112,279642112,279642112,279642112,279642112,279642112,-119078912,0,0,119078912,119078912,119078912,104923136,104923136,119144448,119275520
22687,524288000,11513560,512774440,22684,279642112,9175280,270466832,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1.418330112E9,9175280.0,0.0,9175280.0,12188.0,22652,22683,31,941928,-65536,1564520,622592,10289152,10354688,17432576,17432576,10289152,10354688,237568,0,9175280,8937712,279642112,279642112,279642112,279642112,279642112,279642112,-119078912,393216,0,119078912,119472128,119078912,104923136,104923136,119472128,119144448
23648,524288000,11515640,512772360,23645,279642112,10334312,269307800,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1.53780224E9,1.0334312E7,0.0,1.0334312E7,13149.0,23615,23644,29,-379512,-262144,1185008,1564520,10027008,10289152,17432576,17432576,10027008,10289152,1159032,0,10334312,9175280,279642112,279642112,279642112,279642112,279642112,279642112,-119472128,0,0,119472128,119472128,119472128,104923136,104923136,119996416,119472128
24797,524288000,11528800,512759200,24788,279642112,11138408,268503704,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1.657274368E9,1.1138408E7,0.0,1.1138408E7,14261.0,24727,24756,29,-595184,-262144,589824,1185008,9764864,10027008,17432576,17432576,9764864,10027008,804096,0,11138408,10334312,279642112,279642112,279642112,279642112,279642112,279642112,-119472128,983040,0,119472128,120455168,119472128,104923136,104923136,120455168,119996416
25670,524288000,11531752,512756248,25667,279642112,11302248,268339864,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1.777729536E9,1.1302248E7,0.0,1.1302248E7,15171.0,25640,25666,26,726256,-196608,1316080,589824,9568256,9764864,17432576,17432576,9568256,9764864,163840,0,11302248,11138408,279642112,279642112,279642112,279642112,279642112,279642112,-120455168,0,0,120455168,120455168,120455168,104923136,104923136,120979456,120455168
26509,524288000,11534952,512753048,26507,279642112,11457896,268184216,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1.898184704E9,1.1457896E7,0.0,1.1457896E7,15936.0,26424,26431,7,19064,-327680,1335144,1316080,9240576,9568256,17432576,17432576,9240576,9568256,155648,0,11457896,11302248,279642112,279642112,279642112,279642112,279642112,279642112,-120455168,1245184,0,120455168,121700352,120455168,104923136,104923136,121700352,120979456
27176,524288000,11535600,512752400,27174,279642112,11457896,268184216,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2.019885056E9,1.279164E7,0.0,1.279164E7,16778.0,27216,27273,57,-412280,-393216,922864,1335144,8847360,9240576,17432576,17432576,8847360,9240576,1333744,0,12791640,11457896,279642112,279642112,279642112,279642112,279642112,279642112,-121700352,0,0,121700352,121700352,121700352,104923136,104923136,122421248,121700352
27987,524288000,11535768,512752232,27986,279642112,13689928,265952184,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2.141585408E9,1.3689928E7,0.0,1.3689928E7,17490.0,27923,27985,62,-5360,-327680,917504,922864,8519680,8847360,17432576,17432576,8519680,8847360,898288,0,13689928,12791640,279642112,279642112,279642112,279642112,279642112,279642112,-121700352,1376256,0,121700352,123076608,121700352,104923136,104923136,123076608,122421248
